Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
14531	9536	10932	1449	2706	21261	
20793	13064	6801	1418	3365	25627	
16557	10813	7420	1461	2934	22233	
15515	9984	7175	1464	2638	20509	
14475	9614	6491	1310	3095	24769	
16474	10740	7737	1492	2778	21354	
14311	9705	6807	1402	3143	25626	
16495	10542	7446	1433	3204	25772	
16829	10766	8320	1510	2863	22682	
15038	9984	6669	1417	3306	24832	
16320	10598	7546	1503	2758	23010	
15534	15535	7654	1451	2660	21100	
15468	10208	6855	1389	2678	20761	
14620	9465	7296	1333	2277	21420	
14427	9583	6880	1358	2692	21343	
14251	9209	6889	1359	2642	21531	
14376	9316	6878	1415	2653	22340	
15214	9841	7089	1349	2568	21920	
14807	9802	14451	1458	2524	21148	
13919	9613	6103	1366	2656	21371	
14631	9331	6558	1360	3097	24745	
16380	10626	7384	1525	2762	21551	
14521	9518	7525	1379	2612	21326	
14546	9472	6780	1371	2542	21838	
40417	31320	8395	1342	1811	26647	
17614	10944	7870	1348	2233	22418	
15349	10193	7575	1400	2309	21400	
15352	9594	7516	1377	2340	21920	
15246	9922	7072	1364	2307	21590	
15368	9608	7485	1347	3143	31890	
18202	11594	7710	1582	3103	26262	
17272	11111	8086	1521	2649	22583	
28221	11469	7740	1459	2655	21923	
15280	10117	7040	1386	2887	25254	
16867	11162	7832	1527	3093	28809	
18186	11082	8507	1477	2903	22342	
15662	9823	35578	1731	2772	24149	
15949	10277	7711	1428	3432	32318	
21211	12482	8603	1666	2640	22478	
15432	9888	7391	1380	2582	22342	
15271	10023	7034	1420	2631	22504	
14920	9583	7529	1399	3694	31312	
20246	11048	8055	1528	3012	23250	
17269	11083	7361	1452	2991	25030	
16897	10628	7648	1489	2892	23667	
16743	10254	7885	1428	2600	21720	
15340	9692	7618	1411	2760	21775	
14656	20560	7646	1429	2489	21015	
14716	9436	7203	1300	2635	22200	
15003	9849	6627	1327	2563	22050	
14629	9566	41557	1636	2623	25291	
14990	9888	7343	1340	3102	26619	
19324	12069	8294	1502	2958	23275	
16706	10743	7521	1426	3183	25593	
16117	9996	12120	1480	2680	22709	
15662	9797	7688	1433	3114	25635	
17019	10665	7807	1459	2514	23205	
19620	16309	9307	1500	2996	24876	
16289	10604	7427	1463	3603	26617	
16841	19634	8798	1523	3254	24289	
15124	10202	8090	1446	3014	24894	
15078	10082	7528	1481	2945	24143	
18898	11660	7114	1438	2544	30680	
17528	11074	10159	1984	2980	26587	
15742	10236	7034	1430	2674	21849	
14409	9351	6438	1437	3178	28922	
15321	10246	6742	1369	2482	21836	
15237	9701	7271	1388	2660	22692	
15044	10054	6730	1373	2863	27380	
21260	15228	10520	2004	2566	23386	
15741	10282	11786	1526	2374	21737	
15274	9948	7380	1394	2627	22834	
14808	9667	7330	1384	2226	21324	
14205	9477	6735	1394	2187	20749	
14043	9114	6321	1307	2471	21334	
15368	11755	7466	1384	2386	20930	
14894	9167	9061	1691	3011	40260	
16366	12084	9723	1776	2511	21310	
14192	9414	6317	1372	2491	22292	
14672	9589	6808	1399	2695	22213	
26430	11310	6891	1404	2989	22269	
15048	9644	7117	1400	2737	27000	
21410	17008	9467	1491	2220	21207	
