Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1164686	286447	871629	4672	7854	517023	
1109177	1583080	825196	5084	8333	473090	
1015759	243800	601604	4493	8074	371417	
1077701	435632	773428	5527	39741	441913	
1039713	260160	587911	4855	8229	562607	
1167348	352500	726145	4640	8106	338298	
1089615	1176220	762607	5334	11909	463904	
1130913	364666	632429	4531	9161	602600	
1161728	367651	818321	4923	10454	612197	
1203606	345301	979236	5010	10741	439076	
1274925	358156	862745	5407	9816	444956	
1237917	1254513	774457	5188	9669	451220	
1103537	252405	594338	27875	10515	385173	
1123458	283706	660837	5867	30990	484809	
1133472	376872	697998	4585	11432	394293	
1038865	240076	606700	4852	11906	387074	
1200802	1610498	704975	5224	9365	328679	
1084306	296187	592397	5257	36308	448838	
1125008	252019	713908	4596	9231	434168	
1263520	283468	525806	4934	9191	534871	
1029947	376664	647036	5128	10088	518873	
1041742	4115641	884352	5311	11245	559260	
1098218	263099	702537	4845	35380	545804	
1265046	320973	855411	4874	8917	474168	
1273207	292845	740372	8746	9762	526858	
1150597	272435	735764	4472	12594	508536	
1204339	1359107	1224357	5357	11133	594432	
1172588	373231	849697	5067	9582	434914	
1130144	295448	730346	5527	9314	469325	
1103542	305698	771853	5498	9740	425102	
3013433	371062	777422	5134	8702	416999	
1128756	1187311	750055	5088	8290	328667	
1184494	430263	681164	5439	31608	608547	
1173449	300536	752005	4493	8435	535370	
1114107	321405	683758	4969	12889	484083	
1201510	262057	735126	5188	9546	523335	
1503472	1015228	720960	5663	9257	373718	
1011605	272039	698780	5194	8260	382161	
1098721	294766	715989	5140	9195	400819	
1113807	234070	689909	5120	12737	419534	
1146787	253616	646299	4969	8758	362614	
1095740	1648542	646114	5177	8767	542846	
1171433	265782	611325	4580	8852	384880	
1087259	257001	547300	4946	8521	474834	
1135886	275320	602623	4883	8702	396726	
2428944	237725	565714	4957	19962	551343	
1177068	1168331	737101	5802	11371	506603	
1095250	271668	750871	4600	8340	449787	
1200613	314337	658681	4779	30185	479542	
1194294	346133	771455	4945	9300	414181	
1450645	444024	858539	6001	9271	454008	
1121679	1279822	829391	5189	9300	509760	
1166941	381709	725969	6596	13659	598864	
1219742	360045	721352	5036	30403	497982	
1103174	325292	795571	5106	32704	514568	
1245566	379672	722761	5318	11140	425294	
1284123	1315114	686201	4725	7655	410980	
1144020	360351	685696	4659	9031	369613	
1030971	315963	706988	4887	32620	458375	
1045473	258478	560110	5340	8375	378025	
971474	245120	772657	5036	8795	435063	
1021388	1558363	1589913	4640	21284	541898	
1072986	294376	777398	5020	7989	418484	
983909	359588	632428	6170	8810	460444	
1241106	322594	697695	4186	9238	480687	
1136515	288914	804381	4676	34249	553522	
1266577	1157747	938324	5374	8722	446469	
1090277	370610	822492	6225	10537	435763	
1131045	331049	782774	5843	10157	419568	
1170202	282192	781426	5010	24542	546475	
1196023	348905	748290	5065	10441	364846	
1115391	1235142	732067	4890	8767	412600	
1111487	272934	589923	4761	8474	467694	
1140450	323957	644592	6145	9693	396869	
1166811	345199	593179	5800	11320	431391	
